type,simulationRun,threshold,mean_score,max_score,p95_score,n_above,max_consec
normal,45,0.62,0.6171317100524902,0.6758947372436523,0.6533252596855164,36,16
normal,45,0.64,0.6171317100524902,0.6758947372436523,0.6533252596855164,18,11
normal,45,0.66,0.6171317100524902,0.6758947372436523,0.6533252596855164,3,3
normal,45,0.687,0.6171317100524902,0.6758947372436523,0.6533252596855164,0,0
normal,48,0.6,0.5932239294052124,0.6448442935943604,0.6212146282196045,43,17
normal,48,0.62,0.5932239294052124,0.6448442935943604,0.6212146282196045,6,5
normal,48,0.64,0.5932239294052124,0.6448442935943604,0.6212146282196045,1,1
normal,48,0.66,0.5932239294052124,0.6448442935943604,0.6212146282196045,0,0
normal,48,0.687,0.5932239294052124,0.6448442935943604,0.6212146282196045,0,0
normal,50,0.6,0.6295202970504761,0.7455705404281616,0.721709668636322,67,37
normal,50,0.62,0.6295202970504761,0.7455705404281616,0.721709668636322,44,23
normal,50,0.64,0.6295202970504761,0.7455705404281616,0.721709668636322,27,20
normal,50,0.66,0.6295202970504761,0.7455705404281616,0.721709668636322,22,19
normal,50,0.687,0.6295202970504761,0.7455705404281616,0.721709668636322,13,13
normal,53,0.6,0.6080598831176758,0.683949887752533,0.6616542339324951,47,31
normal,53,0.62,0.6080598831176758,0.683949887752533,0.6616542339324951,34,28
normal,53,0.64,0.6080598831176758,0.683949887752533,0.6616542339324951,16,8
normal,53,0.66,0.6080598831176758,0.683949887752533,0.6616542339324951,6,4
normal,53,0.687,0.6080598831176758,0.683949887752533,0.6616542339324951,0,0
normal,58,0.6,0.6124692559242249,0.6522302031517029,0.6404657363891602,64,25
normal,58,0.62,0.6124692559242249,0.6522302031517029,0.6404657363891602,31,10
normal,58,0.64,0.6124692559242249,0.6522302031517029,0.6404657363891602,5,2
normal,58,0.66,0.6124692559242249,0.6522302031517029,0.6404657363891602,0,0
normal,58,0.687,0.6124692559242249,0.6522302031517029,0.6404657363891602,0,0
normal,64,0.6,0.6383692026138306,0.6952196359634399,0.6861454248428345,77,54
normal,64,0.62,0.6383692026138306,0.6952196359634399,0.6861454248428345,65,34
normal,64,0.64,0.6383692026138306,0.6952196359634399,0.6861454248428345,47,13
normal,64,0.66,0.6383692026138306,0.6952196359634399,0.6861454248428345,25,11
normal,64,0.687,0.6383692026138306,0.6952196359634399,0.6861454248428345,4,1
normal,72,0.6,0.6119164824485779,0.6824246644973755,0.6685937643051147,51,22
normal,72,0.62,0.6119164824485779,0.6824246644973755,0.6685937643051147,28,14
normal,72,0.64,0.6119164824485779,0.6824246644973755,0.6685937643051147,18,12
normal,72,0.66,0.6119164824485779,0.6824246644973755,0.6685937643051147,7,5
normal,72,0.687,0.6119164824485779,0.6824246644973755,0.6685937643051147,0,0
normal,80,0.6,0.6397327184677124,0.6771291494369507,0.6695860028266907,85,68
normal,80,0.62,0.6397327184677124,0.6771291494369507,0.6695860028266907,68,35
normal,80,0.64,0.6397327184677124,0.6771291494369507,0.6695860028266907,53,19
normal,80,0.66,0.6397327184677124,0.6771291494369507,0.6695860028266907,15,4
normal,80,0.687,0.6397327184677124,0.6771291494369507,0.6695860028266907,0,0
normal,82,0.6,0.616059422492981,0.6565355062484741,0.6518212556838989,62,41
normal,82,0.62,0.616059422492981,0.6565355062484741,0.6518212556838989,41,25
normal,82,0.64,0.616059422492981,0.6565355062484741,0.6518212556838989,22,7
normal,82,0.66,0.616059422492981,0.6565355062484741,0.6518212556838989,0,0
normal,82,0.687,0.616059422492981,0.6565355062484741,0.6518212556838989,0,0
normal,99,0.6,0.6146825551986694,0.6720037460327148,0.6514425277709961,69,40
normal,99,0.62,0.6146825551986694,0.6720037460327148,0.6514425277709961,32,17
normal,99,0.64,0.6146825551986694,0.6720037460327148,0.6514425277709961,16,9
normal,99,0.66,0.6146825551986694,0.6720037460327148,0.6514425277709961,1,1
normal,99,0.687,0.6146825551986694,0.6720037460327148,0.6514425277709961,0,0
normal,102,0.6,0.6313084959983826,0.6828137636184692,0.6760008931159973,81,38
normal,102,0.62,0.6313084959983826,0.6828137636184692,0.6760008931159973,62,28
normal,102,0.64,0.6313084959983826,0.6828137636184692,0.6760008931159973,31,10
normal,102,0.66,0.6313084959983826,0.6828137636184692,0.6760008931159973,11,7
normal,102,0.687,0.6313084959983826,0.6828137636184692,0.6760008931159973,0,0
normal,111,0.6,0.6338091492652893,0.6771857738494873,0.6675488948822021,80,39
normal,111,0.62,0.6338091492652893,0.6771857738494873,0.6675488948822021,66,38
normal,111,0.64,0.6338091492652893,0.6771857738494873,0.6675488948822021,42,10
normal,111,0.66,0.6338091492652893,0.6771857738494873,0.6675488948822021,10,5
normal,111,0.687,0.6338091492652893,0.6771857738494873,0.6675488948822021,0,0
normal,112,0.6,0.629123866558075,0.6776081323623657,0.6685747504234314,77,51
normal,112,0.62,0.629123866558075,0.6776081323623657,0.6685747504234314,62,22
normal,112,0.64,0.629123866558075,0.6776081323623657,0.6685747504234314,29,16
normal,112,0.66,0.629123866558075,0.6776081323623657,0.6685747504234314,9,4
normal,112,0.687,0.629123866558075,0.6776081323623657,0.6685747504234314,0,0
normal,113,0.6,0.6179236769676208,0.6883110404014587,0.6794175505638123,68,53
normal,113,0.62,0.6179236769676208,0.6883110404014587,0.6794175505638123,44,12
normal,113,0.64,0.6179236769676208,0.6883110404014587,0.6794175505638123,16,9
normal,113,0.66,0.6179236769676208,0.6883110404014587,0.6794175505638123,7,6
normal,113,0.687,0.6179236769676208,0.6883110404014587,0.6794175505638123,2,1
normal,115,0.6,0.6055765151977539,0.674784243106842,0.6567938327789307,49,30
normal,115,0.62,0.6055765151977539,0.674784243106842,0.6567938327789307,34,21
normal,115,0.64,0.6055765151977539,0.674784243106842,0.6567938327789307,13,8
normal,115,0.66,0.6055765151977539,0.674784243106842,0.6567938327789307,4,3
normal,115,0.687,0.6055765151977539,0.674784243106842,0.6567938327789307,0,0
normal,120,0.6,0.6321189999580383,0.7363355159759521,0.705091655254364,74,30
normal,120,0.62,0.6321189999580383,0.7363355159759521,0.705091655254364,46,28
normal,120,0.64,0.6321189999580383,0.7363355159759521,0.705091655254364,31,25
normal,120,0.66,0.6321189999580383,0.7363355159759521,0.705091655254364,17,16
normal,120,0.687,0.6321189999580383,0.7363355159759521,0.705091655254364,8,8
normal,126,0.6,0.6221561431884766,0.6878706812858582,0.6812401413917542,65,43
normal,126,0.62,0.6221561431884766,0.6878706812858582,0.6812401413917542,49,18
normal,126,0.64,0.6221561431884766,0.6878706812858582,0.6812401413917542,32,13
normal,126,0.66,0.6221561431884766,0.6878706812858582,0.6812401413917542,10,6
normal,126,0.687,0.6221561431884766,0.6878706812858582,0.6812401413917542,1,1
normal,136,0.6,0.626086950302124,0.704356849193573,0.6825567483901978,72,44
normal,136,0.62,0.626086950302124,0.704356849193573,0.6825567483901978,45,17
normal,136,0.64,0.626086950302124,0.704356849193573,0.6825567483901978,26,13
normal,136,0.66,0.626086950302124,0.704356849193573,0.6825567483901978,14,10
normal,136,0.687,0.626086950302124,0.704356849193573,0.6825567483901978,4,4
normal,141,0.6,0.6317400932312012,0.6848441362380981,0.6753872632980347,78,58
normal,141,0.62,0.6317400932312012,0.6848441362380981,0.6753872632980347,60,54
normal,141,0.64,0.6317400932312012,0.6848441362380981,0.6753872632980347,34,20
normal,141,0.66,0.6317400932312012,0.6848441362380981,0.6753872632980347,8,5
normal,141,0.687,0.6317400932312012,0.6848441362380981,0.6753872632980347,0,0
normal,143,0.6,0.6013802289962769,0.6561293005943298,0.6386600732803345,49,14
normal,143,0.62,0.6013802289962769,0.6561293005943298,0.6386600732803345,23,10
normal,143,0.64,0.6013802289962769,0.6561293005943298,0.6386600732803345,4,2
normal,143,0.66,0.6013802289962769,0.6561293005943298,0.6386600732803345,0,0
normal,143,0.687,0.6013802289962769,0.6561293005943298,0.6386600732803345,0,0
normal,151,0.6,0.6284544467926025,0.6804857850074768,0.6685319542884827,77,48
normal,151,0.62,0.6284544467926025,0.6804857850074768,0.6685319542884827,54,38
normal,151,0.64,0.6284544467926025,0.6804857850074768,0.6685319542884827,34,13
normal,151,0.66,0.6284544467926025,0.6804857850074768,0.6685319542884827,14,7
normal,151,0.687,0.6284544467926025,0.6804857850074768,0.6685319542884827,0,0
normal,173,0.6,0.6434310674667358,0.6757676601409912,0.6658833622932434,89,89
normal,173,0.62,0.6434310674667358,0.6757676601409912,0.6658833622932434,86,50
normal,173,0.64,0.6434310674667358,0.6757676601409912,0.6658833622932434,53,12
normal,173,0.66,0.6434310674667358,0.6757676601409912,0.6658833622932434,13,4
normal,173,0.687,0.6434310674667358,0.6757676601409912,0.6658833622932434,0,0
