type,simulationRun,relationship,score_type,mean_score,max_score,p95_score,n_above_p99,max_consec_p99,event_p99
normal,16,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.7037262407833066,2.3488216347109594,1.6705166949369696,0,0,0
normal,16,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.5485499566118508,1.7620671092488494,1.293000236680719,0,0,0
normal,16,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.8730586586159981,2.9961747556104794,2.1028563122633597,3,3,1
normal,16,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,0.612303209115647,1.6749656387794505,1.4002326423626987,0,0,0
normal,16,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,0.6725748951020586,2.1051904741776526,1.6697295035840547,0,0,0
normal,16,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,0.8152351864457736,1.9394021925322824,1.845183840595329,0,0,0
normal,17,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.8065415595632529,0.9926114712327788,0.9606071249722115,0,0,0
normal,17,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.7098164868419183,0.8968140295216022,0.8424402537448771,0,0,0
normal,17,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.9066735401822487,2.0093432628386116,1.601750097398194,4,4,1
normal,17,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7670335860567296,0.9051151687993406,0.8550176816826373,0,0,0
normal,17,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7697688088189089,0.914821121067035,0.8653451248993197,0,0,0
normal,17,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7718231679359356,0.9165462487201236,0.8700299272052313,0,0,0
normal,17,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.8910826883817563,1.5662783345293916,1.2472112379912477,2,2,0
normal,17,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.8759546246366411,1.6248132797215222,1.3441836084356125,4,4,1
normal,17,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.8498124494245968,1.5426176543943724,1.233936402132519,4,4,1
normal,17,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,1.2726479465557163,3.984538288489008,3.1324284714407478,9,9,1
normal,17,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,0.9181752616115769,1.8505686281225988,1.6413604485948754,0,0,0
normal,17,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,0.745188160112691,2.387320623914005,1.7059585337075804,0,0,0
normal,17,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.7791866727401858,3.835776418253486,3.1518834237337616,7,7,1
normal,17,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.7179715066245401,2.2405486643488675,1.7823599919463275,0,0,0
normal,17,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.8896929235051974,2.5533789438694625,2.1594457672840237,1,1,0
normal,17,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,0.4735284242152878,1.7469583143770857,1.2632784987165535,0,0,0
normal,17,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,0.9850104227511197,2.4138384957143213,2.0366873963873813,0,0,0
normal,17,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,1.2637285934642892,3.1678260853915177,2.7414151499333794,8,5,1
normal,23,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.8324869381999531,1.029019856031066,0.9685198630299529,1,1,0
normal,23,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.8424511034651906,1.0863869483667576,1.0511480403440583,6,6,1
normal,23,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.9559219975287921,1.7985815174824584,1.7350464769766298,0,0,0
normal,23,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8493345049189319,0.9753050855072932,0.9455025538893989,0,0,0
normal,23,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8515828147929475,0.9773563857444498,0.9405824602311568,0,0,0
normal,23,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8512550585409454,0.9789428883407747,0.9437982357320057,0,0,0
normal,23,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.8640705788416269,1.3622088303572666,1.3329473880775782,0,0,0
normal,23,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.8946946654077713,1.4169584803447308,1.3340058709582472,0,0,0
normal,23,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.8251316224384214,1.334451131179398,1.3101525331074189,4,2,0
normal,23,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,0.8861579585983915,2.71182535933689,1.8016260736800793,1,1,0
normal,23,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,1.0251822829516626,2.3581455015692225,1.7742953124310916,0,0,0
normal,23,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,1.0063627445608299,2.709937950966955,2.237657319765252,2,2,0
normal,23,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,1.0262793020327063,2.227744615805327,1.974947902766179,0,0,0
normal,23,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,1.196211094171163,2.272076181763098,2.1221648040273804,0,0,0
normal,23,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.8771076683653511,2.282627683471622,1.6826826275239424,0,0,0
normal,23,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,0.6574467167740292,1.854814096384054,1.4529162541692757,0,0,0
normal,23,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,1.0604861369040863,2.5547017994198105,2.2673040027322546,1,1,0
normal,23,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,0.8215513143418669,2.3758686709659083,1.6452922698417822,0,0,0
normal,41,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.8492491676167191,1.07599617947455,1.0319497257971146,8,7,1
normal,41,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.8138046888172674,1.0470708000685636,0.9809520467603717,1,1,0
normal,41,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.9469925769139358,2.035637713830242,1.8894622448080818,10,10,1
normal,41,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8164269319960247,0.9407677535364253,0.9001218997801951,0,0,0
normal,41,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8168621236874279,0.9451034408095395,0.9085612584878412,0,0,0
normal,41,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8117664585216022,0.9283251616333181,0.8933043353880928,0,0,0
normal,41,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.8730903944426032,1.6021845985381278,1.5335587314549037,8,8,1
normal,41,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.8690424056010136,1.6474109350168085,1.5497246312289175,11,11,1
normal,41,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.8610597652807379,1.5250932968500874,1.3944906425520296,11,11,1
normal,41,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,0.5141930765691076,1.834355583103593,1.2929051198065353,0,0,0
normal,41,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,0.9634857654512536,1.677062015732031,1.648261022389404,0,0,0
normal,41,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,1.0394853769360326,3.1137764316606305,2.418917127977607,4,3,1
